haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
0.20,0.14,0.84,1.95,6.53,1.04,266.80,222.94,144.56,0.08,0.80,0.67,28.38,3.72,-8.30,-179.24,-76.31,-118.01,135
0.17,0.11,0.75,-0.92,18.86,-7.87,254.01,210.15,160.43,-0.10,0.89,0.36,16.36,3.72,-17.46,-193.44,-76.31,-114.59,135
0.13,0.16,0.89,1.95,3.17,-1.53,248.52,226.60,165.72,-0.01,0.88,0.56,13.18,-1.28,-7.02,-195.21,-85.18,-109.46,135
0.05,0.13,0.83,2.99,4.52,-8.67,268.62,228.42,174.53,-0.01,0.85,0.61,3.60,-4.46,-16.97,-193.44,-79.86,-118.01,135
0.15,0.16,0.84,1.28,16.24,-8.73,250.35,228.42,181.58,-0.01,0.85,0.59,-0.12,7.02,-18.07,-205.86,-74.54,-102.61,135
0.07,0.13,0.87,-13.18,27.89,-4.21,272.28,213.80,192.16,-0.07,0.86,0.63,-6.10,6.23,-20.39,-221.83,-65.66,-94.06,135
0.13,0.14,0.78,-10.99,-0.31,-8.24,257.66,239.39,206.27,-0.03,0.84,0.59,5.25,-14.22,-0.92,-205.86,-60.34,-95.77,135
0.09,0.10,0.81,3.23,-15.81,-8.91,254.01,232.08,206.27,-0.02,0.82,0.67,3.72,-26.79,9.28,-216.51,-67.44,-102.61,135
0.11,0.13,0.83,-1.71,-29.36,-8.61,254.01,232.08,178.06,0.00,0.82,0.52,4.58,-28.56,18.92,-211.19,-62.11,-100.90,135
0.18,0.15,0.76,-7.08,-10.07,-5.07,244.87,241.21,169.24,0.07,0.81,0.50,1.10,-2.93,-1.83,-200.54,-62.11,-131.69,135
0.12,0.08,0.73,-8.73,11.72,-2.69,248.52,233.90,162.19,0.07,0.79,0.57,5.19,3.30,-19.35,-191.66,-67.44,-112.88,135
0.15,0.09,0.77,5.19,19.96,-5.68,239.39,235.73,185.11,-0.03,0.77,0.60,9.09,8.12,-17.76,-212.96,-60.34,-112.88,135
0.09,0.05,0.84,4.39,18.92,-10.19,241.21,237.56,172.77,-0.03,0.77,0.67,6.53,-3.36,-17.58,-214.73,-47.92,-114.59,135
0.13,0.08,0.80,-1.65,7.51,-15.20,230.25,244.87,190.40,-0.09,0.78,0.63,14.34,-10.62,-10.86,-227.16,-53.24,-119.72,135
0.08,0.08,0.83,3.60,3.42,-11.96,215.63,244.87,193.92,-0.12,0.81,0.59,8.61,-9.34,-6.77,-230.71,-56.79,-126.56,135
0.08,0.09,0.82,6.10,1.40,5.07,206.49,246.70,202.74,-0.10,0.82,0.62,5.43,5.00,8.79,-253.78,-44.37,-128.27,135
-0.00,0.16,0.88,-4.88,15.75,24.66,219.29,241.21,204.50,-0.32,0.80,0.49,0.79,13.98,19.17,-228.93,-58.56,-114.59,135
-0.07,0.09,0.69,-15.50,-12.88,14.89,248.52,241.21,200.98,-0.16,0.80,0.58,6.10,-6.35,17.88,-225.38,-65.66,-114.59,135
0.05,0.14,0.86,6.47,-11.96,6.77,244.87,230.25,186.87,-0.10,0.80,0.49,5.80,-6.84,15.14,-211.19,-58.56,-100.90,135
0.08,0.07,0.83,0.12,-21.97,3.17,250.35,235.73,188.64,0.02,0.75,0.82,1.95,-16.42,18.98,-204.09,-69.21,-111.17,135
