ms,Dax,Day,Daz,Dgx,Dgy,Dgz,Eax,Eay,Eaz,Egx,Egy,Egz,Fax,Fay,Faz,Fgx,Fgy,Fgz
0,1.00244140625,-0.0458984375,-0.083984375,-1.1585365533828735,-0.4268292784690857,1.1585365533828735,0.08447265625,0.48583984375,0.880859375,0.24390244483947754,0.4268292784690857,-0.3048780560493469,0.0458984375,0.56494140625,0.87060546875,6.890244007110596,-2.0731706619262695,0.3048780560493469
50,0.978515625,-0.048828125,-0.068359375,-1.8902438879013062,-0.12195122241973877,-0.3048780560493469,0.08642578125,0.48193359375,0.88623046875,-0.6707317233085632,0.18292683362960815,-0.3658536672592163,0.03125,0.53271484375,0.8515625,-0.4268292784690857,0.18292683362960815,-1.2804877758026123
100,0.9873046875,-0.05224609375,-0.07958984375,-1.7682926654815674,2.012195110321045,0.6707317233085632,0.08642578125,0.46435546875,0.87158203125,0.6707317233085632,0.5487805008888245,-1.0365853309631348,0.029296875,0.55712890625,0.86181640625,0.3658536672592163,-0.4268292784690857,-0.060975611209869385
150,0.97998046875,-0.0478515625,-0.0771484375,0.0,1.0365853309631348,-2.378048896789551,0.087890625,0.47314453125,0.88427734375,2.0731706619262695,1.1585365533828735,-0.792682945728302,0.03466796875,0.53125,0.85986328125,2.5609755516052246,-0.6707317233085632,-0.6707317233085632
200,1.00146484375,-0.048828125,-0.06982421875,-1.7682926654815674,-0.9146341681480408,1.2804877758026123,0.08935546875,0.45703125,0.8935546875,1.0365853309631348,-0.18292683362960815,-0.3658536672592163,0.0390625,0.53759765625,0.85498046875,-0.18292683362960815,0.3658536672592163,-1.3414634466171265
250,1.0009765625,-0.048828125,-0.0732421875,-1.5243902206420898,-0.5487805008888245,3.7804877758026123,0.07421875,0.48876953125,0.87744140625,-1.7073171138763428,0.6097561120986938,-0.792682945728302,0.0341796875,0.5556640625,0.8681640625,1.8292683362960815,-0.5487805008888245,-1.2804877758026123
300,0.97802734375,-0.056640625,-0.0830078125,-0.9146341681480408,1.5243902206420898,2.317073106765747,0.0986328125,0.48046875,0.8876953125,0.24390244483947754,0.3658536672592163,-1.8902438879013062,0.02099609375,0.5458984375,0.85693359375,-2.1341464519500732,0.3658536672592163,-2.195122003555298
350,1.015625,-0.04638671875,-0.0693359375,-1.0365853309631348,1.9512195587158203,1.1585365533828735,0.09375,0.4755859375,0.88134765625,-0.7317073345184326,-0.060975611209869385,-0.4878048896789551,0.0400390625,0.53662109375,0.86083984375,-0.060975611209869385,-0.6097561120986938,-0.6707317233085632
400,0.99658203125,-0.04541015625,-0.080078125,-0.9146341681480408,-0.6097561120986938,-0.792682945728302,0.08349609375,0.48828125,0.876953125,-0.3658536672592163,0.12195122241973877,-1.0365853309631348,0.03955078125,0.5615234375,0.86962890625,-0.4878048896789551,-0.3048780560493469,-0.6097561120986938
450,0.97900390625,-0.05517578125,-0.07568359375,-0.792682945728302,-0.18292683362960815,-0.12195122241973877,0.0986328125,0.46728515625,0.89599609375,-2.195122003555298,0.12195122241973877,-1.097561001777649,0.025390625,0.53173828125,0.85400390625,-0.24390244483947754,0.12195122241973877,-1.097561001777649
500,1.01904296875,-0.0361328125,-0.06591796875,-1.6463414430618286,-1.2804877758026123,2.682926893234253,0.080078125,0.47509765625,0.87451171875,0.5487805008888245,-1.3414634466171265,0.9146341681480408,0.03857421875,0.54345703125,0.8681640625,-0.7317073345184326,-1.2804877758026123,0.3658536672592163
550,0.984375,-0.04638671875,-0.08740234375,-0.3658536672592163,-0.9756097793579102,1.7073171138763428,0.0947265625,0.49072265625,0.8876953125,-1.2804877758026123,0.4878048896789551,-0.4878048896789551,0.0263671875,0.5517578125,0.8623046875,1.3414634466171265,-0.9146341681480408,-0.8536585569381714
