haX,haY,haZ,hgX,hgY,hgZ,hmX,hmY,hmZ,aaX,aaY,aaZ,agX,agY,agZ,amX,amY,amZ,angle
0.18,-0.07,0.75,-0.79,2.69,0.61,411.16,809.53,171.01,0.00,0.76,-0.62,6.96,-2.56,5.43,-378.00,512.88,-124.85,45
0.16,-0.08,0.81,4.15,-3.48,-1.04,423.95,822.32,190.40,0.02,0.76,-0.69,6.04,-4.21,0.61,-367.36,502.23,-131.69,45
0.16,-0.09,0.69,12.33,29.30,-8.67,418.47,820.49,185.11,-0.05,0.79,-0.61,13.98,-27.40,-6.47,-369.13,521.75,-116.30,45
0.15,-0.02,0.87,14.16,6.41,1.28,414.82,816.84,185.11,-0.03,0.76,-0.71,11.72,-0.12,-4.09,-354.93,514.65,-119.72,45
0.10,-0.08,0.74,-5.07,11.05,-8.18,412.99,818.67,176.30,-0.04,0.79,-0.63,19.78,-18.62,-4.64,-354.93,518.20,-119.72,45
0.11,0.03,0.94,18.13,12.94,-1.46,427.61,829.63,165.72,-0.08,0.77,-0.93,7.32,-9.77,-0.67,-351.38,525.30,-112.88,45
0.09,0.01,0.92,-16.48,15.99,-13.79,425.78,824.15,163.95,-0.02,0.75,-0.77,-5.07,-12.82,1.95,-363.81,523.53,-107.75,45
0.06,-0.02,0.90,-7.32,19.29,-0.73,425.78,827.80,146.33,-0.16,0.82,-0.80,-0.06,-16.17,-1.59,-349.61,519.98,-97.48,45
0.02,-0.06,0.87,-13.55,1.95,-9.70,425.78,813.18,125.17,-0.12,0.79,-0.76,-0.79,-10.99,11.60,-344.29,489.81,-85.51,45
0.00,-0.10,0.87,-24.54,1.46,-17.03,422.12,816.84,125.17,-0.07,0.83,-0.64,-19.65,-15.26,20.51,-342.51,498.68,-70.12,45
0.08,-0.14,0.84,-24.05,0.55,-16.66,442.23,793.08,119.88,-0.06,0.85,-0.67,-21.06,-7.39,13.43,-337.19,496.91,-71.83,45
0.07,-0.18,0.86,-37.29,7.32,-7.93,438.57,804.05,91.67,-0.12,0.91,-0.61,-36.25,-3.30,6.96,-321.21,484.48,-53.02,45
0.04,-0.29,0.78,-51.57,-7.39,-2.62,444.05,809.53,65.23,-0.07,0.92,-0.43,-44.74,-3.11,8.54,-289.27,477.39,-18.81,45
0.07,-0.38,0.70,-52.55,-7.14,-0.79,436.74,824.15,47.60,-0.04,0.91,-0.28,-45.78,2.01,8.30,-289.27,488.03,-11.97,45
0.09,-0.44,0.56,-44.86,-5.62,2.26,433.09,820.49,29.97,0.00,0.89,-0.21,-28.87,-4.46,4.46,-275.07,463.19,-11.97,45
0.10,-0.49,0.51,-30.09,3.30,2.44,423.95,815.01,14.10,-0.07,0.95,-0.12,-10.01,-3.54,1.22,-253.78,477.39,-11.97,45
0.10,-0.55,0.52,-6.53,-6.16,1.95,420.30,815.01,3.53,-0.04,0.93,-0.10,9.03,12.51,7.63,-255.55,489.81,-10.26,45
0.06,-0.54,0.49,9.58,-10.62,6.65,411.16,820.49,5.29,-0.11,0.93,-0.06,37.48,23.19,12.63,-253.78,495.13,-11.97,45
0.04,-0.47,0.45,48.89,-29.05,2.69,411.16,820.49,29.97,0.08,0.82,-0.30,85.27,23.74,28.20,-280.40,493.36,-37.63,45
0.17,-0.30,0.79,74.16,-7.69,15.56,405.68,796.74,56.41,-0.01,1.04,-0.77,57.98,-22.16,-13.43,-303.47,498.68,-53.02,45
0.16,-0.36,0.99,10.86,-0.24,-3.85,403.85,816.84,82.86,0.02,1.05,-0.59,17.03,14.34,11.11,-319.44,518.20,-61.57,45
0.14,-0.42,0.76,-4.15,-13.98,-4.88,407.51,816.84,86.38,0.06,0.91,-0.35,5.55,-5.98,15.56,-328.31,495.13,-56.44,45
0.22,-0.43,0.57,18.74,-39.98,8.42,416.64,807.70,105.78,0.09,0.99,-0.26,65.86,26.49,4.52,-351.38,496.91,-88.93,45
0.18,-0.34,0.75,72.45,-36.25,4.15,403.85,798.57,142.80,0.16,0.69,-0.77,90.45,7.39,0.55,-340.74,511.10,-119.72,45
0.30,0.03,0.69,61.40,-9.64,6.71,402.02,796.74,158.67,0.12,0.57,-0.79,54.69,-5.74,-0.37,-353.16,505.78,-141.95,45
0.34,0.14,0.79,44.31,-4.76,-2.99,389.23,783.95,185.11,0.10,0.68,-0.85,27.04,-13.12,-17.52,-349.61,512.88,-148.79,45
0.25,0.10,1.01,19.17,10.62,-5.31,380.10,793.08,190.40,0.23,0.77,-0.91,19.35,8.06,0.55,-354.93,511.10,-143.66,45
0.25,0.06,1.08,9.16,13.61,12.57,376.44,793.08,179.82,0.15,0.77,-0.93,13.67,7.20,-0.85,-342.51,516.43,-165.89,45
0.29,0.08,0.97,-4.09,22.71,3.91,372.79,785.77,197.45,0.04,0.70,-0.73,-0.37,4.70,-12.08,-322.99,528.85,-150.50,45
0.18,0.06,0.71,9.70,15.50,4.64,372.79,804.05,169.24,0.06,0.66,-0.90,18.31,-3.66,-10.56,-322.99,528.85,-150.50,45
0.18,0.07,0.91,2.14,5.13,14.40,361.82,811.36,165.72,0.11,0.67,-0.87,6.10,1.34,1.22,-312.34,521.75,-153.92,45
0.19,0.10,0.84,-13.00,17.82,-0.18,361.82,815.01,158.67,-0.10,0.71,-0.71,-7.45,-4.70,-2.87,-299.92,512.88,-128.27,45
0.16,0.03,0.76,0.73,-5.80,2.75,356.34,813.18,146.33,0.06,0.65,-0.81,-0.43,4.15,0.61,-303.47,534.18,-152.21,45
0.19,0.05,0.82,-23.01,15.32,4.76,358.17,800.39,151.61,-0.01,0.75,-0.75,-1.59,9.83,-10.74,-310.57,544.82,-131.69,45
0.11,-0.00,0.82,-6.53,-1.89,14.83,341.72,827.80,135.75,0.01,0.73,-0.67,-4.09,-7.02,-7.93,-292.82,534.18,-135.11,45
0.16,-0.06,0.78,-8.18,-1.40,2.81,354.51,822.32,133.98,-0.00,0.75,-0.66,3.97,0.92,-6.04,-292.82,541.27,-135.11,45
0.11,-0.07,0.78,-7.08,-5.92,6.29,356.34,849.73,111.07,0.05,0.70,-0.71,-5.68,-9.34,6.65,-294.59,543.05,-123.14,45
0.20,-0.03,0.72,-17.64,11.72,-4.46,363.65,824.15,114.59,-0.04,0.74,-0.66,-14.22,-16.11,-10.13,-298.14,539.50,-129.98,45
0.08,-0.06,0.81,-17.82,14.16,-2.93,367.30,838.77,107.54,-0.05,0.79,-0.69,-10.86,21.85,11.05,-298.14,543.05,-102.61,45
0.04,-0.15,0.69,-23.80,4.58,0.00,356.34,857.04,96.96,-0.16,0.81,-0.62,5.25,-15.93,3.91,-262.65,550.15,-99.19,45
0.10,-0.11,0.77,5.92,-5.74,-6.90,358.17,829.63,88.15,-0.03,0.77,-0.59,-0.24,-8.24,13.61,-276.85,535.95,-95.77,45
0.10,-0.12,0.73,-4.27,-5.98,-9.22,365.48,836.94,105.78,0.12,0.72,-0.57,10.62,-2.99,18.37,-298.14,535.95,-71.83,45
0.19,-0.08,0.70,2.01,-0.43,-6.35,369.13,829.63,98.73,0.02,0.70,-0.57,11.47,4.58,-8.18,-299.92,523.53,-87.22,45
0.10,-0.10,0.74,-2.50,1.16,4.94,370.96,835.11,89.91,0.00,0.79,-0.54,7.02,1.83,4.46,-291.05,525.30,-92.35,45
0.15,-0.11,0.76,4.21,-6.10,3.11,365.48,829.63,95.20,0.01,0.78,-0.69,15.26,7.39,5.07,-292.82,541.27,-100.90,45
0.16,-0.10,0.78,-4.58,-5.49,-0.18,372.79,822.32,98.73,0.05,0.82,-0.61,11.29,-2.93,-2.81,-291.05,528.85,-106.03,45
0.12,-0.13,0.79,4.09,-1.95,6.41,370.96,831.46,118.12,-0.01,0.76,-0.61,7.57,-2.14,11.66,-292.82,537.72,-100.90,45
0.19,-0.07,0.74,1.59,4.15,-16.11,363.65,820.49,111.07,0.06,0.79,-0.58,8.85,5.13,-7.26,-308.79,528.85,-95.77,45
0.11,-0.12,0.77,5.43,7.75,10.25,376.44,840.60,95.20,0.01,0.78,-0.62,22.34,-9.52,2.44,-298.14,528.85,-109.46,45
0.18,-0.11,0.81,10.74,0.31,-5.55,367.30,831.46,111.07,-0.09,0.80,-0.70,22.64,1.22,-2.08,-312.34,543.05,-109.46,45
0.13,-0.07,0.85,17.76,-8.61,0.37,370.96,805.87,128.70,0.06,0.76,-0.68,15.56,-9.70,-4.39,-296.37,541.27,-121.43,45
0.11,-0.04,0.85,5.68,8.42,-3.66,387.40,815.01,123.41,0.02,0.69,-0.70,8.97,0.31,5.80,-305.24,535.95,-106.03,45
0.14,-0.03,0.72,1.04,-1.22,-1.04,367.30,820.49,125.17,-0.14,0.69,-0.65,12.94,-23.01,-6.84,-310.57,527.08,-118.01,45
